ID;FFECHA;Mora30;Mora60;MoraMax_UltimoSemestre;Experiencia;PersonasCargo;GastosFamiliares;GastoArriendo;TiempoActividad;OCUPACION;TIPCONTRATO;Edad;Estado_Civil;Genero;Ingresos;Nivel_Academico;Tipo_Vivienda;TiempoCliente;Tiempo_SistemaFro;PORCEND;Obligaciones_SistemaFro
920;201711;0;0;0;1;0;7000;0;5;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;58;OTROS;FEMENINO;9662,522388;TECNÓLOGO;FAMILIAR;57;0;0,926799807;0
921;201710;0;0;17;1;0;6400;0;7;EMPLEADO;TÉRMINO INDEFINIDO;30;CASADO;FEMENINO;9552,238806;BACHILLER;FAMILIAR;9;50;0,625;1
922;201711;0;0;17;1;0;8900;0;2;EMPLEADO;TÉRMINO INDEFINIDO;31;SOLTERO;FEMENINO;13283,58209;UNIVERSITARIO;FAMILIAR;1;0;1,011235955;0
923;201710;0;0;0;0;0;8891,26;0;1;EMPLEADO;TÉRMINO INDEFINIDO;44;SOLTERO;FEMENINO;13270,53731;UNIVERSITARIO;FAMILIAR;3;19;1,012229988;0
924;201707;1;1;74;0;0;8100;150000;2;EMPLEADO;TÉRMINO FIJO;37;OTROS;FEMENINO;12089,55224;UNIVERSITARIO;ALQUILADA;1;0;0,37037037;0
925;201712;0;0;17;1;0;8810,52;0;5;EMPLEADO;TÉRMINO FIJO;34;OTROS;FEMENINO;13150,02985;TECNÓLOGO;PROPIA;9;17;1,021506109;2
926;201708;0;0;17;0;0;6160;0;5;JUBILADOS/PENSIONADO;OTROS;46;SOLTERO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;13;13;0,974025974;0
927;201701;1;0;47;0;1;6160;0;2;EMPLEADO;OBRA, LABOR O MISIÓN;39;CASADO;FEMENINO;9194,029851;TECNÓLOGO;PROPIA;52;52;0,974025974;0
928;201704;0;0;17;1;0;6160;0;3;EMPLEADO;TÉRMINO FIJO;34;SOLTERO;FEMENINO;9194,029851;UNIVERSITARIO;FAMILIAR;23;23;0,974025974;1
929;201711;0;0;14;1;0;8530;0;1;EMPLEADO;TÉRMINO INDEFINIDO;35;SOLTERO;FEMENINO;12731,34328;BACHILLER;FAMILIAR;1;0;1,055099648;0
930;201711;1;0;58;0;0;7471,15;0;2;EMPLEADO;TÉRMINO INDEFINIDO;34;SOLTERO;FEMENINO;11150,97015;UNIVERSITARIO;FAMILIAR;34;0;0,936937419;0
931;201710;0;0;17;0;0;9500;0;3;EMPLEADO;TÉRMINO INDEFINIDO;34;SOLTERO;FEMENINO;14179,10448;TECNÓLOGO;FAMILIAR;5;0;1,052631579;0
932;201711;0;0;29;0;0;8000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;33;SOLTERO;FEMENINO;11940,29851;UNIVERSITARIO;FAMILIAR;4;0;1;0
933;201712;0;0;0;1;0;8320;0;1;EMPLEADO;TÉRMINO FIJO;34;SOLTERO;FEMENINO;12417,91045;TECNÓLOGO;FAMILIAR;7;0;0,961538462;0
934;201705;0;0;30;0;2;7040;0;3;EMPLEADO;TÉRMINO INDEFINIDO;35;CASADO;FEMENINO;10507,46269;BACHILLER;FAMILIAR;128;0;0,568181818;0
935;201806;0;0;0;1;0;7000;0;0;EMPLEADO;TÉRMINO INDEFINIDO;34;SOLTERO;FEMENINO;10447,76119;UNIVERSITARIO;FAMILIAR;20;126;1;0
936;201707;1;0;59;0;0;8710;0;1;EMPLEADO;TÉRMINO FIJO;33;SOLTERO;FEMENINO;13000;TECNÓLOGO;FAMILIAR;64;0;0,45924225;0
937;201809;0;0;0;0;0;6160;0;1;EMPLEADO;OTROS;34;OTROS;FEMENINO;9194,029851;BACHILLER;FAMILIAR;4;0;0,974025974;0
938;201710;0;0;17;0;0;9000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;33;CASADO;FEMENINO;13432,83582;UNIVERSITARIO;FAMILIAR;43;73;1;0
939;201709;0;0;18;0;0;9927,06;0;1;EMPLEADO;TÉRMINO INDEFINIDO;34;CASADO;FEMENINO;14816,50746;TECNÓLOGO;FAMILIAR;1;5;1,007347593;1
940;201701;0;0;0;1;0;6798,01;0;2;EMPLEADO;TÉRMINO INDEFINIDO;29;SOLTERO;FEMENINO;10146,28358;UNIVERSITARIO;FAMILIAR;2;16;1,029713107;1
941;201708;0;0;17;1;0;6270;0;1;EMPLEADO;TÉRMINO INDEFINIDO;34;SOLTERO;FEMENINO;9358,208955;UNIVERSITARIO;FAMILIAR;1;50;0,956937799;0
942;201712;0;0;18;0;0;6160;0;14;EMPLEADO;TÉRMINO FIJO;57;SOLTERO;FEMENINO;9194,029851;BACHILLER;PROPIA;0;0;0,487012987;0
943;201708;0;0;30;0;0;7109,04;0;3;JUBILADOS/PENSIONADO;OTROS;56;CASADO;FEMENINO;10610,50746;BACHILLER;PROPIA;0;0;0,562663876;0
944;201712;1;0;45;0;0;6160;0;5;EMPLEADO;TÉRMINO INDEFINIDO;56;CASADO;FEMENINO;9194,029851;UNIVERSITARIO;FAMILIAR;0;0;0,487012987;0
945;201708;0;0;0;0;1;6745,95;0;1;JUBILADOS/PENSIONADO;OTROS;51;SOLTERO;FEMENINO;10068,58209;UNIVERSITARIO;PROPIA;0;0;0,444711271;0
946;201707;1;1;119;1;0;7894;0;1;EMPLEADO;TÉRMINO FIJO;50;CASADO;FEMENINO;11782,08955;UNIVERSITARIO;FAMILIAR;12;14;1,01342792;2
947;201804;0;0;0;0;0;8000;0;2;EMPLEADO;TÉRMINO INDEFINIDO;48;SOLTERO;MASCULINO;11940,29851;BACHILLER;FAMILIAR;31;0;0,5;0
948;201701;0;0;17;0;0;6160;0;7;EMPLEADO;OBRA, LABOR O MISIÓN;47;SOLTERO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;0;0;0,487012987;0
949;201807;1;0;60;0;3;6344,8;0;3;EMPLEADO;TÉRMINO INDEFINIDO;49;DIVORCIADO;FEMENINO;9469,850746;BACHILLER;FAMILIAR;0;0;0,472828143;0
950;201701;1;1;78;0;0;6880;150000;1;EMPLEADO;TÉRMINO INDEFINIDO;46;OTROS;FEMENINO;10268,65672;TECNÓLOGO;ALQUILADA;0;0;0,436046512;0
951;201705;0;0;17;1;0;6160;0;10;EMPLEADO;TÉRMINO INDEFINIDO;29;SOLTERO;FEMENINO;9194,029851;UNIVERSITARIO;FAMILIAR;4;0;0,974025974;0
952;201711;0;0;0;0;2;6650;0;4;EMPLEADO;TÉRMINO INDEFINIDO;32;CASADO;FEMENINO;9925,373134;BACHILLER;FAMILIAR;0;0;0,45112782;0
953;201711;1;1;91;1;0;6160;0;3;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;59;SOLTERO;FEMENINO;9194,029851;BACHILLER;PROPIA;23;0;0,974025974;0
954;201805;0;0;0;1;0;6160;0;0;JUBILADOS/PENSIONADO;OTROS;59;SOLTERO;FEMENINO;9194,029851;BACHILLER;PROPIA;40;46;0,811688312;2
955;201707;0;0;0;1;0;7560;0;3;EMPLEADO;TÉRMINO INDEFINIDO;34;SOLTERO;FEMENINO;11283,58209;TECNÓLOGO;FAMILIAR;17;20;0,793650794;1
956;201709;0;0;0;0;0;8904;0;1;EMPLEADO;TÉRMINO INDEFINIDO;37;SOLTERO;FEMENINO;13289,55224;UNIVERSITARIO;FAMILIAR;26;100;1,010781671;0
957;201803;0;0;0;1;2;6231,13;0;3;EMPLEADO;TÉRMINO INDEFINIDO;35;OTROS;FEMENINO;9300,19403;BACHILLER;FAMILIAR;2;20;0,962907209;1
958;201706;0;0;0;1;0;8620;0;1;EMPLEADO;TÉRMINO INDEFINIDO;35;SOLTERO;FEMENINO;12865,67164;UNIVERSITARIO;FAMILIAR;1;91;0,232018562;1
959;201709;1;1;89;1;1;7391,87;0;8;EMPLEADO;TÉRMINO INDEFINIDO;30;CASADO;FEMENINO;11032,64179;BACHILLER;FAMILIAR;12;62;0,946986351;1
960;201707;1;0;47;1;2;6250;0;10;EMPLEADO;OBRA, LABOR O MISIÓN;30;CASADO;FEMENINO;9328,358209;BACHILLER;FAMILIAR;4;4;0,96;1
961;201705;0;0;17;1;0;9500;0;2;EMPLEADO;TÉRMINO INDEFINIDO;32;CASADO;MASCULINO;14179,10448;TECNÓLOGO;FAMILIAR;14;79;1,052631579;1
962;201703;1;0;58;1;2;6160;0;5;EMPLEADO;TÉRMINO FIJO;32;OTROS;FEMENINO;9194,029851;BACHILLER;FAMILIAR;2;38;0,974025974;1
